participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
586,3,1,0,5,5,5,4,3,0,0,6,3,4,2,2,0,0,0,1,0,1,-2,-3,3,1,0,1,-1,0,-2,2,0,0,-2,2,1,-3,3,0,2,3,0,6,0,1,4,4,0.83,0.67,0,0.5,2.25,2,67,4,106.839,2
587,4,2,0,0,6,3,1,0,4,6,0,0,0,4,3,0,0,-2,-1,-2,-1,-3,1,-1,-2,0,2,-2,0,0,0,-1,1,2,-2,-1,-2,2,0,0,0,5,1,0,0,2,3,-1.17,-0.17,0,-1.5,1.25,1,34,4,15.79,2
588,2,1,0,1,5,3,0,0,0,6,0,4,5,2,5,0,0,0,2,2,0,0,-1,1,2,1,-1,1,0,0,0,-1,1,-1,1,2,-2,2,0,3,4,1,5,1,4,5,4,1.33,0.5,0,1,3.5,2,25,6,144.578,1.5
589,2,1,0,1,5,4,4,2,6,1,2,6,6,5,5,1,2,1,2,2,2,2,-3,3,3,2,-3,3,2,-2,2,-2,2,-2,2,3,-3,3,1,4,5,0,6,3,4,6,5,2.83,1.83,1.5,1.75,4.5,1,31,6,113.979,1.75
590,2,1,0,6,6,2,6,0,0,0,0,3,3,0,4,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,4,-0.17,-0.17,0,0,1,2,59,3,129.474,1.5
591,2,2,0,0,6,4,0,0,6,5,0,1,0,3,1,0,0,0,0,0,-1,-3,0,0,-2,-2,3,-3,0,1,-1,0,0,0,0,0,0,0,0,1,0,5,1,0,0,2,0,-1.33,-0.5,0,-0.25,0.5,2,37,5,45.316,2
592,4,3,0,3,3,1,0,6,0,0,4,5,5,5,4,0,0,0,0,0,0,0,-2,2,1,-1,1,-1,1,-2,2,-2,2,-2,2,1,-3,3,1,4,5,0,6,0,4,4,3,1,1.17,0,0,2.75,2,69,5,113.307,1.5
593,3,1,0,0,6,3,0,0,3,6,0,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,2,3,0,0,0,0,1.25,2,30,5,45.397,1
594,1,4,1,1,6,3,1,2,4,6,0,4,4,6,5,3,3,2,2,2,3,0,-1,1,0,0,-1,1,3,2,-2,-1,1,-2,2,2,-3,3,3,3,5,1,5,0,0,3,3,1.17,1.17,3,2.25,1.5,1,22,6,106.231,1.5
595,3,1,0,4,1,6,2,0,2,1,0,4,3,3,3,1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,1,-1,1,0,4,4,2,4,0,1,1,2,0.33,0.17,0.5,0,1,1,28,5,22.022,1.5
596,4,1,0,0,6,3,0,1,3,5,0,4,5,1,3,0,0,0,0,0,0,0,-2,2,2,1,-2,2,0,-1,1,-1,1,-2,2,2,-3,3,0,3,4,1,5,2,5,5,5,1.83,0.83,0,0,4.25,1,30,5,35.319,1.5
597,2,3,0,3,0,6,0,1,0,0,0,3,4,5,2,2,3,1,1,1,-1,1,0,0,0,2,0,0,1,-1,1,-2,2,1,-1,1,-3,3,0,1,2,4,2,0,0,3,2,0.83,0.83,2.5,0.5,1.25,2,19,6,202.664,1.75
598,4,3,1,1,5,4,0,0,6,6,0,6,6,6,6,0,0,0,2,2,2,2,-3,3,2,2,-3,3,2,-3,3,-3,3,-3,3,3,-3,3,3,6,6,0,6,3,6,6,6,2.67,2.67,0,1.5,5.25,2,51,6,123.474,1.5
599,4,1,0,0,6,3,1,1,0,6,0,2,3,4,2,0,0,-1,0,-1,0,-2,0,0,-1,-2,2,-2,0,1,-1,-1,1,0,0,-1,0,0,0,1,1,4,2,0,0,3,2,-1,-0.33,0,-0.5,1.25,2,42,4,43.74,1.75
600,3,3,0,3,3,6,3,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,4,4,0,0,0,0,2,1,22,3,36.617,0.75
601,3,3,1,0,6,3,0,2,4,6,0,5,4,3,5,0,1,1,1,0,1,1,-2,2,2,3,-1,1,2,-2,2,-2,2,-2,2,2,-3,3,2,5,6,0,6,0,4,4,6,1.83,2.17,0.5,0.75,3.5,1,25,5,28.174,1.5
602,1,1,0,1,5,3,0,1,5,6,1,4,5,2,4,0,-1,1,2,2,1,-1,-2,2,2,2,1,-1,1,-1,1,-1,1,-1,1,1,-3,3,0,2,4,2,4,0,2,3,4,1,1,-0.5,1.5,2.25,2,57,4,116.726,1
603,2,4,1,2,4,3,0,2,4,5,0,3,3,3,3,1,1,0,0,0,1,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,1,-3,3,0,0,2,4,2,0,0,1,2,0.83,0.17,1,0.25,0.75,2,55,2,93.584,1.75
604,1,3,0,4,4,5,0,4,2,3,4,4,4,4,4,0,0,0,0,0,0,0,-2,2,2,1,0,0,1,-2,2,-2,2,-3,3,2,-3,3,1,4,4,1,5,0,0,3,4,1.5,1.67,0,0,1.75,2,45,4,101.563,1.5
605,1,1,0,4,4,6,0,3,1,1,0,5,5,2,5,0,0,-1,1,0,0,-1,0,0,1,1,1,-1,-1,0,0,1,-1,-1,1,0,0,0,-1,4,5,0,6,1,5,4,5,-0.17,-0.17,0,0,3.75,1,52,6,68.178,1.75
606,3,3,1,1,4,4,0,3,6,5,2,4,5,4,4,1,1,2,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-2,2,2,4,5,1,5,2,4,5,4,1.17,1.17,1,1.25,3.75,2,28,5,39.768,1.5
607,4,3,1,1,5,3,0,1,3,6,0,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,0,3,5,5,0,0,0,0,3.25,1,27,6,35.106,1.75
