participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
348,1,2,0,4,1.17,1.33,1,40
349,3,3,1,2,1.5,2,2,22
350,2,3,0,6,0.33,0.33,2,38
351,2,3,1,3,2.33,1.83,1,25
352,1,3,1,1,2.17,2.17,2,23
353,2,3,1,3,1.17,1.17,2,58
354,4,3,0,4,1.5,1,1,40
355,4,3,1,1,0.33,0.17,2,25
356,4,3,0,3,0,0,1,27
357,4,3,0,3,0,-0.17,1,32
358,4,2,0,5,-1,-1.17,1,52
359,1,4,1,3,1,0.67,1,27
360,3,1,0,6,2,2,1,66
361,3,3,1,3,-0.83,0.5,1,26
362,3,3,0,3,0.83,1,1,27
363,3,3,1,3,2.67,2.5,2,44
364,4,4,1,0,-1.17,0.17,1,35
365,2,3,1,3,1.33,1.17,1,26
366,1,1,0,5,0.67,1.17,2,43
367,1,2,0,4,0.83,0.33,1,33
368,4,4,0,5,0.33,1,2,46
369,1,1,0,2,1.17,0.17,2,36
370,4,3,1,2,1.67,2,1,28
371,2,1,0,3,1.83,0.83,1,26
372,1,3,1,2,0.83,0.83,2,28
373,2,4,0,4,-0.17,0,2,42
374,2,3,0,5,2.67,2.5,2,34
375,3,4,1,4,0.67,0.33,1,22
376,2,3,1,1,0.83,0.83,2,36
377,4,1,0,3,1.17,1.17,1,22
378,3,1,1,2,0.83,0.17,1,42
379,2,2,0,3,0,0.83,2,27
380,2,1,0,5,1.67,1.67,1,36
381,4,3,0,4,-1.83,-0.33,1,37
382,1,4,0,3,1.83,2.83,2,40
383,3,3,1,0,2.33,2.5,2,46
384,4,1,1,5,1,1.33,2,53
385,2,1,0,0,-0.5,-0.17,2,26
386,2,1,0,3,0.17,0,2,41
387,2,2,0,0,-1,-2.33,2,40
388,4,3,1,2,0.33,1.17,2,28
389,2,4,0,3,0.67,0.83,2,58
390,4,3,1,3,1.67,1.67,2,43
391,1,4,0,0,0.5,1.5,2,24
392,4,1,0,1,0.33,-0.17,2,36
393,1,2,0,1,-0.67,-0.67,2,30
394,4,2,0,3,-2.5,-1.33,2,29
395,3,1,1,0,-0.17,0.17,2,48
396,3,3,1,4,-0.17,-0.17,2,26
397,2,3,1,0,2.17,2.33,2,48
398,1,1,0,3,0.67,0.17,2,38
399,1,3,1,2,1.17,1.5,1,27
400,3,1,1,3,-0.33,0,1,18
401,1,1,0,2,-1,-1.5,1,58
402,4,1,0,2,1.17,1.5,2,42
403,2,3,0,6,-2.17,-0.83,2,30
404,3,4,0,4,-0.5,-0.5,1,26
405,3,3,0,6,-1.5,0,2,36
406,1,1,0,3,2,1.33,1,23
407,1,3,1,1,2.17,2.17,2,29
408,1,1,0,1,-0.17,0.17,1,26
409,1,3,1,1,2.33,2.5,1,28
410,4,4,0,1,0.17,-0.67,1,27
411,4,3,0,3,0.5,0.5,1,55
412,3,1,0,1,0.17,0.67,2,39
413,1,2,0,1,-0.33,0.33,1,29
414,3,3,0,2,1,2.33,1,30
415,4,3,1,2,1.67,1.33,1,34
416,1,3,1,0,2.83,3,1,28
417,3,1,0,0,-1.17,-0.83,1,38
418,2,2,1,2,1.33,1.17,1,29
419,2,3,0,0,2,1.17,1,32
420,2,4,0,6,-1.17,-0.17,2,30
421,1,1,1,4,-0.5,0.33,1,67
422,4,2,0,2,-0.33,-1.17,2,35
423,2,1,0,5,1,0.33,2,35
424,4,3,0,3,0,0,1,26
425,3,3,1,0,1.83,2,1,34
426,3,3,0,3,2.83,2,2,40
427,3,1,1,6,2.33,2.17,2,62
428,3,2,0,3,0,0,1,23
429,2,1,0,2,1.83,0,1,25
430,1,1,0,1,0.67,0.83,2,39
431,4,1,0,4,1,1.5,2,23
432,3,1,0,3,0.83,0.67,1,27
433,3,4,1,4,0.67,0.17,1,46
434,1,1,0,4,1.17,1.83,2,42
435,4,1,0,4,1.5,1.17,2,31
436,3,1,0,0,1.67,1.5,1,26
437,2,1,0,1,2.17,0.67,2,29
438,4,4,1,0,2.17,1.5,1,22
439,1,1,0,5,1.17,0.17,2,36
440,2,1,0,2,1.17,0.5,1,31
441,4,3,1,2,1.33,0.83,1,33
442,3,3,1,1,3,3,2,22
443,2,3,1,2,1.67,2.17,2,38
444,1,3,1,3,1.33,0.67,1,26
445,3,3,1,0,1.5,1.17,2,45
446,1,4,0,5,0.33,0.5,1,35
447,4,1,0,3,0.17,1.5,2,64
448,1,1,1,3,2.83,0.5,2,45
449,4,3,0,2,0.17,0.33,1,26
450,1,3,1,2,0.17,0,2,28
451,4,1,0,4,1.17,1.17,2,42
452,3,3,1,1,1.83,2.67,1,25
453,2,1,0,1,2.5,0.83,2,26
454,2,2,1,3,0.67,0.83,1,28
455,2,4,0,2,0.17,0.83,1,29
456,3,1,0,2,-0.17,-0.17,1,25
457,4,1,0,2,1.83,1,1,29
458,3,2,0,1,-1,-0.17,1,26
459,1,1,0,3,0,0,1,21
460,4,3,0,5,1.67,0.83,1,34
461,1,2,0,0,-0.33,0.67,1,31
462,4,2,0,1,0,0,1,33
463,3,2,0,3,-2.5,-0.5,1,25
464,2,3,0,4,-2.17,-0.83,1,22
465,4,2,0,1,-0.5,0,2,27
466,2,3,0,4,1,-0.5,2,24
467,4,1,0,3,0,0,2,36
468,1,2,0,4,-0.33,0,2,22
469,2,2,0,2,-2.5,-3,2,32
470,2,4,0,6,-2.33,-1.33,2,31
471,4,3,1,1,1.83,2.33,2,29
472,3,1,0,5,1.33,0.83,1,23
473,4,1,0,3,0.83,0.67,2,63
474,1,3,0,3,-0.67,-1.67,2,31
475,2,1,0,1,1.67,2.17,1,24
476,2,1,0,0,0,0,1,25
477,4,3,1,1,2.33,2.67,2,26
478,3,1,0,4,1.33,1.5,1,28
479,2,1,0,1,0,0,2,45
480,1,4,0,4,0.67,1.5,2,46
481,1,3,0,0,2.5,2.67,2,36
482,4,3,1,1,0,0,1,23
483,1,1,0,1,0.67,0.5,2,22
484,1,1,0,3,-0.17,-0.17,2,28
485,3,3,1,3,0.17,1.33,1,30
486,2,3,1,1,2.33,2.33,2,24
487,4,3,1,3,3,2.83,1,23
488,2,1,0,3,2,1,2,39
489,3,2,0,2,-2,-0.67,2,23
490,2,3,1,1,0.17,0.67,2,50
491,3,3,0,5,-0.67,-0.17,1,46
492,3,2,0,0,-1.33,-0.17,1,28
493,3,2,1,4,0.5,0.33,2,51
494,3,2,0,1,-0.5,-0.33,2,34
495,3,1,0,1,0,0.67,2,21
496,1,2,1,5,1.5,1.83,1,26
497,2,3,0,3,2.83,2.17,2,19
498,1,2,0,3,-0.33,0.17,2,21
499,1,3,0,5,-0.33,-0.17,1,26
500,3,3,1,1,1.17,2.17,2,45
501,3,2,0,3,1,1.67,1,48
502,3,1,1,4,1,1.17,2,36
503,2,4,0,3,0.33,1,1,21
504,3,1,0,3,0.17,-0.5,2,25
505,1,3,0,5,1.67,0.5,1,25
506,2,4,0,4,-0.83,0.5,2,27
507,4,2,0,1,-1.17,-1.17,1,41
508,3,3,1,2,0.5,1.17,1,51
509,2,3,0,6,1.5,1.5,2,28
510,3,1,0,1,0,0,1,22
511,3,4,0,6,-1.83,-1.67,1,29
512,2,1,1,5,1.17,1.67,1,35
513,1,3,0,4,-1.33,-2.67,1,62
514,1,1,0,1,0.83,0.17,2,21
515,1,2,1,4,0.83,0.67,2,44
516,4,4,0,3,-1.5,-2.5,2,22
517,3,3,0,5,0.33,0.33,2,53
518,2,3,1,1,0.67,-0.33,2,23
519,3,4,0,3,0.17,0.5,1,31
520,3,1,0,4,-0.5,0.17,2,43
521,1,1,0,1,2,3,2,46
522,1,3,1,2,0.5,0.83,1,33
523,3,1,0,3,1,0.5,2,60
524,3,2,0,3,-2.67,-1.83,1,33
525,2,3,0,5,0.83,1.5,2,49
526,2,3,1,0,2,1.5,1,29
527,3,2,1,5,0.17,-0.67,2,25
528,4,4,1,2,-0.5,0.17,2,37
529,1,3,1,1,0.5,0.33,2,33
530,2,1,1,4,1.5,1.17,1,34
531,3,1,0,2,2.33,2.33,2,44
532,4,3,1,3,0,0,2,39
533,2,3,1,2,1.5,1.17,2,27
534,2,3,1,1,-0.83,0.17,1,30
535,2,3,1,2,0.17,0.17,1,40
536,3,1,0,2,1.33,1.67,2,23
537,4,3,1,3,2.17,1.33,2,72
538,1,1,0,3,2.67,0.67,2,51
539,2,1,0,3,2.67,2.33,2,29
540,4,3,1,2,0.67,0,1,25
541,3,1,0,5,1.33,0.83,1,20
542,4,3,1,3,0,0.67,1,26
543,4,3,0,3,0,0,2,37
544,2,1,0,6,2.5,1.33,1,35
545,1,4,0,3,-0.83,0,2,35
546,2,3,1,3,1.67,0.83,2,39
547,1,3,0,3,0.83,2.17,1,51
548,4,4,0,4,1.67,2,2,73
549,3,3,0,3,0,0.67,1,29
550,4,1,0,2,-0.83,-0.5,2,31
551,2,3,1,2,1.67,2.17,2,29
552,3,2,1,2,-0.67,-0.5,1,37
553,4,4,0,3,0.17,0.17,1,32
554,1,1,0,2,0.67,0.67,1,28
555,4,1,1,5,2.17,2.17,1,49
556,1,3,0,2,0.83,0.83,2,27
557,3,1,1,3,1.5,2.17,1,53
558,4,4,0,3,0.17,-0.17,1,44
559,2,1,0,1,0,0,2,53
560,4,3,0,5,-1.33,-1.17,2,30
561,3,3,0,5,0.5,0.33,2,56
562,1,3,0,1,2,1.33,2,33
563,1,1,1,6,2.67,2,1,65
564,1,1,0,0,1.67,1.33,2,27
565,4,1,0,3,0.17,0.17,1,46
566,4,3,1,2,0.67,1.5,2,27
567,2,4,0,6,-0.67,-0.33,2,28
568,1,3,1,1,0,0.17,2,57
569,3,3,1,1,1.33,2,1,29
570,1,3,0,4,1.5,1.83,2,47
571,3,4,0,3,-1.33,-0.5,1,28
572,2,2,0,4,0.83,0,1,36
573,3,2,0,0,-2.5,-2,2,44
574,3,3,1,3,-1.17,0.33,2,35
575,2,3,1,1,2.17,1.83,1,35
576,3,1,0,1,1.33,0.67,2,31
577,2,3,0,5,1.5,1.83,1,47
578,2,1,0,2,2.67,2.5,2,39
579,2,3,1,1,1.5,1,2,31
580,2,3,1,4,1.83,2.17,2,26
581,4,4,1,1,-1,-0.17,2,36
582,3,4,0,4,-2.33,-1.17,2,31
583,1,3,1,0,0.33,-0.5,1,27
584,4,1,0,2,0,0,1,26
585,3,3,0,4,0.17,0.67,2,38
586,3,1,0,5,0.83,0.67,2,67
587,4,2,0,0,-1.17,-0.17,1,34
588,2,1,0,1,1.33,0.5,2,25
589,2,1,0,1,2.83,1.83,1,31
590,2,1,0,6,-0.17,-0.17,2,59
591,2,2,0,0,-1.33,-0.5,2,37
592,4,3,0,3,1,1.17,2,69
593,3,1,0,0,0,0,2,30
594,1,4,1,1,1.17,1.17,1,22
595,3,1,0,4,0.33,0.17,1,28
596,4,1,0,0,1.83,0.83,1,30
597,2,3,0,3,0.83,0.83,2,19
598,4,3,1,1,2.67,2.67,2,51
599,4,1,0,0,-1,-0.33,2,42
600,3,3,0,3,0,0,1,22
601,3,3,1,0,1.83,2.17,1,25
602,1,1,0,1,1,1,2,57
603,2,4,1,2,0.83,0.17,2,55
604,1,3,0,4,1.5,1.67,2,45
605,1,1,0,4,-0.17,-0.17,1,52
606,3,3,1,1,1.17,1.17,2,28
607,4,3,1,1,0,0,1,27
