ID,Mode,Ephemerality,gender,age_1,Stimulus,ClickCount,FirstClick,LastClick,PageSubmit,RecommendationFollowed
88,DisappearingVisual,1,2,42,toaster,7,2.678,9.228,10.11,1
89,Auditory,1,1,32,brownies,1,14.682,14.682,15.758,1
90,Auditory,1,1,32,hotel,1,8.004,8.004,12.475,1
91,Auditory,1,1,32,shampoo,1,14.81,14.81,16.19,0
92,Auditory,1,1,32,toaster,1,40.974,40.974,42.164,0
93,Auditory,1,1,46,brownies,4,11.312,17.863,18.766,0
94,Auditory,1,1,46,hotel,1,1.644,1.644,2.939,1
95,Auditory,1,1,46,shampoo,1,3.054,3.054,4.013,1
96,Auditory,1,1,46,toaster,5,1.988,9.524,11.676,1
97,Auditory,1,2,38,brownies,1,0.28,0.28,1.65,0
98,Auditory,1,2,38,hotel,1,6.088,6.088,8.181,0
99,Auditory,1,2,38,shampoo,1,2.804,2.804,4.757,0
100,Auditory,1,2,38,toaster,0,0,0,2.75,1
101,PermanentVisual,0,2,35,brownies,2,11.048,11.875,13.887,1
102,PermanentVisual,0,2,35,hotel,1,13.485,13.485,15.833,1
103,PermanentVisual,0,2,35,shampoo,1,12.923,12.923,15.672,0
104,PermanentVisual,0,2,35,toaster,1,89.679,89.679,93.486,1
105,Auditory,1,2,28,brownies,3,4.685,5.813,6.771,0
106,Auditory,1,2,28,hotel,2,0.235,1.355,2.361,1
107,Auditory,1,2,28,shampoo,0,0,0,1.247,1
108,Auditory,1,2,28,toaster,3,7.212,8.309,9.843,0
109,DisappearingVisual,1,2,23,brownies,1,25.066,25.066,27.212,0
110,DisappearingVisual,1,2,23,hotel,1,38.088,38.088,39.85,0
111,DisappearingVisual,1,2,23,shampoo,1,24.989,24.989,26.351,0
112,DisappearingVisual,1,2,23,toaster,2,73.202,73.637,75.571,0
113,Auditory,1,1,41,brownies,4,2.708,5.371,5.967,0
114,Auditory,1,1,41,hotel,2,3.892,4.164,6.563,0
115,Auditory,1,1,41,shampoo,1,4.151,4.151,4.899,1
116,Auditory,1,1,41,toaster,1,4.098,4.098,5.229,1
117,PermanentVisual,0,1,29,brownies,1,1.792,1.792,3.596,0
118,PermanentVisual,0,1,29,hotel,1,4.138,4.138,6.715,1
119,PermanentVisual,0,1,29,shampoo,1,2.814,2.814,10.183,1
120,PermanentVisual,0,1,29,toaster,3,1.557,3.496,5.743,1
121,Auditory,1,1,23,brownies,2,2.451,3.043,3.438,1
122,Auditory,1,1,23,hotel,1,1.541,1.541,3.316,1
123,Auditory,1,1,23,shampoo,1,11.098,11.098,11.7,1
124,Auditory,1,1,23,toaster,1,1.843,1.843,3.859,1
125,Auditory,1,2,39,brownies,1,1.829,1.829,2.871,1
126,Auditory,1,2,39,hotel,3,2.295,5.811,8.524,1
127,Auditory,1,2,39,shampoo,2,2.38,4.591,5.592,0
128,Auditory,1,2,39,toaster,1,9.19,9.19,12.399,0
129,PermanentVisual,0,1,28,brownies,1,4.125,4.125,7.731,0
130,PermanentVisual,0,1,28,hotel,1,3.877,3.877,10.284,1
131,PermanentVisual,0,1,28,shampoo,3,3.831,10.274,15.001,0
132,PermanentVisual,0,1,28,toaster,1,42.4,42.4,45.416,1
133,DisappearingVisual,1,1,40,brownies,1,2.999,2.999,17.989,1
134,DisappearingVisual,1,1,40,hotel,2,2.693,18.054,26.079,1
135,DisappearingVisual,1,1,40,shampoo,3,22.031,38.489,40.474,0
136,DisappearingVisual,1,1,40,toaster,6,3.927,60.084,61.302,1
137,DisappearingVisual,1,1,59,brownies,1,15.149,15.149,18.445,1
138,DisappearingVisual,1,1,59,hotel,2,25.257,29.545,31.375,0
139,DisappearingVisual,1,1,59,shampoo,1,38.58,38.58,39.787,0
140,DisappearingVisual,1,1,59,toaster,1,54.781,54.781,58.467,0
141,PermanentVisual,0,1,30,brownies,1,7.432,7.432,10.774,0
142,PermanentVisual,0,1,30,hotel,1,23.116,23.116,24.75,0
143,PermanentVisual,0,1,30,shampoo,1,17.885,17.885,19.29,0
144,PermanentVisual,0,1,30,toaster,1,36.446,36.446,41.426,0
145,PermanentVisual,0,2,38,brownies,2,10.359,27.374,30.103,0
146,PermanentVisual,0,2,38,hotel,3,11.315,12.193,14.209,1
147,PermanentVisual,0,2,38,shampoo,3,22.688,24.556,28.646,0
148,PermanentVisual,0,2,38,toaster,1,42.693,42.693,52.98,1
149,PermanentVisual,0,2,50,brownies,1,7.959,7.959,9.527,0
150,PermanentVisual,0,2,50,hotel,1,33.62,33.62,35.133,0
151,PermanentVisual,0,2,50,shampoo,1,14.243,14.243,15.929,0
152,PermanentVisual,0,2,50,toaster,1,21.497,21.497,25.215,1
153,PermanentVisual,0,1,23,brownies,2,3.003,10.321,12.573,0
154,PermanentVisual,0,1,23,hotel,0,0,0,1.824,1
155,PermanentVisual,0,1,23,shampoo,1,8.166,8.166,10.102,0
156,PermanentVisual,0,1,23,toaster,2,11.472,14.037,15.301,1
157,Auditory,1,1,22,brownies,9,2.624,6.298,7.404,1
158,Auditory,1,1,22,hotel,2,4.2,4.649,7.799,1
159,Auditory,1,1,22,shampoo,2,3.402,13.187,16.83,0
160,Auditory,1,1,22,toaster,2,28.592,30.664,33.733,0
161,Auditory,1,1,37,brownies,4,5.4,9.993,11.041,0
162,Auditory,1,1,37,hotel,2,11.677,12.405,15.503,0
163,Auditory,1,1,37,shampoo,1,6.202,6.202,8.791,0
164,Auditory,1,1,37,toaster,2,12.877,14.019,18.212,0
165,Auditory,1,1,29,brownies,1,2.5,2.5,3.216,1
166,Auditory,1,1,29,hotel,1,3.979,3.979,6.371,1
167,Auditory,1,1,29,shampoo,2,9.984,10.7,11.887,1
168,Auditory,1,1,29,toaster,2,4.306,4.833,8.088,1
169,PermanentVisual,0,1,41,brownies,1,31.019,31.019,32.975,1
170,PermanentVisual,0,1,41,hotel,1,8.463,8.463,36.267,0
171,PermanentVisual,0,1,41,shampoo,1,35.707,35.707,47.292,1
172,PermanentVisual,0,1,41,toaster,3,206.326,283.643,287.756,1
173,Auditory,1,2,27,brownies,1,4.296,4.296,5.375,1
174,Auditory,1,2,27,hotel,1,3.097,3.097,4.699,1
175,Auditory,1,2,27,shampoo,1,2.814,2.814,4.329,1
176,Auditory,1,2,27,toaster,1,7.635,7.635,9.76,1
177,Auditory,1,1,28,brownies,2,1.108,1.329,3.515,1
178,Auditory,1,1,28,hotel,3,1.486,1.91,3.036,1
179,Auditory,1,1,28,shampoo,3,0.994,2.357,2.657,1
180,Auditory,1,1,28,toaster,4,1.829,4.122,6.353,1
181,PermanentVisual,0,2,53,brownies,1,3.38,3.38,4.595,1
182,PermanentVisual,0,2,53,hotel,1,2.821,2.821,4.437,1
183,PermanentVisual,0,2,53,shampoo,1,1.958,1.958,2.767,1
184,PermanentVisual,0,2,53,toaster,1,6.978,6.978,9.743,1
185,PermanentVisual,0,2,32,brownies,1,9.439,9.439,10.972,0
186,PermanentVisual,0,2,32,hotel,3,19.317,23.787,25.132,1
187,PermanentVisual,0,2,32,shampoo,1,9.255,9.255,11.97,0
188,PermanentVisual,0,2,32,toaster,4,17.195,25.529,27.034,1
189,Auditory,1,2,34,brownies,1,2.71,2.71,3.846,1
190,Auditory,1,2,34,hotel,3,3.851,6.026,6.922,1
191,Auditory,1,2,34,shampoo,1,1.178,1.178,3.361,1
192,Auditory,1,2,34,toaster,5,0.415,4.542,5.822,1
193,DisappearingVisual,1,1,54,brownies,2,2.913,10.413,12.048,1
194,DisappearingVisual,1,1,54,hotel,1,5.508,5.508,6.819,1
195,DisappearingVisual,1,1,54,shampoo,3,6.068,12.237,13.957,0
196,DisappearingVisual,1,1,54,toaster,1,12.817,12.817,15.621,0
197,PermanentVisual,0,2,43,brownies,1,29.644,29.644,32.511,1
198,PermanentVisual,0,2,43,hotel,2,15.91,17.413,22.077,0
